drug_1,drug_2,similarity
PHENYLPROPANOLAMINE,PHENYLPROPANOLAMINE HYDROCHLORIDE,0.9524
RITODRINE,RITODRINE HYDROCHLORIDE,0.9677
AMBRISENTAN,DARUSENTAN,0.7442
GONADORELIN,BUSERELIN,0.8175
GONADORELIN,FERTIRELIN,0.931
GONADORELIN,[TRP8]GNRH,0.885
GONADORELIN,GOSERELIN ACETATE,0.7891
GONADORELIN,[GLN8]GNRH,0.887
GONADORELIN,LEUPROLIDE MESYLATE,0.8655
GONADORELIN,DESLORELIN,0.8879
GONADORELIN,[SER8]GNRH,0.885
GONADORELIN,NAFARELIN ACETATE,0.8934
GONADORELIN,"[125I]GNRH I (HUMAN, MOUSE, RAT)",1.0
GONADORELIN,BUSERELIN ACETATE,0.8047
GONADORELIN,LUTEINIZING HORMONE,0.9739
GONADORELIN,TRIPTORELIN,0.9643
GONADORELIN,GNRH I,0.8929
GONADORELIN,TRIPTORELIN PAMOATE,0.8583
GONADORELIN,GNRH III,0.719
MOEXIPRIL,QUINAPRIL,0.8033
MOEXIPRIL,MOEXIPRIL HYDROCHLORIDE,0.9831
ROTIGOTINE,5-OH-DPAT,0.7391
TAMIBAROTENE,RO 40-6055,0.8421
TRIMIPRAMINE,TRIMIPRAMINE MALEATE,0.775
BTRX-246040,LY2940094,1.0
PIMAGEDINE,PIMAGEDINE HYDROCHLORIDE,0.8889
TILARGININE ACETATE,TILARGININE,0.9355
SARALASIN,TRV026,0.8696
SARALASIN,ANGIOTENSIN-(1-7),0.7115
SARALASIN,SARALASIN ACETATE,0.9674
SARALASIN,ANGIOTENSIN A,0.7429
SARALASIN,ANGIOTENSIN III,0.717
SARALASIN,TRV023,0.9468
SARALASIN,TXA127,0.7115
[125I]EPIBATIDINE,EPIBATIDINE,1.0
MECAMYLAMINE,MECAMYLAMINE HYDROCHLORIDE,0.95
ECHOTHIOPHATE IODIDE,ECOTHIOPATE,0.96
ECHOTHIOPHATE IODIDE,ECHOTHIOPHATE,0.96
ISOETHARINE,ISOETHARINE HYDROCHLORIDE,0.9688
PINACIDIL,(S)-PINACIDIL,1.0
TERIPARATIDE,TERIPARATIDE ACETATE,1.0
TERIPARATIDE,"[125I][ALA1,3,11,15]ET-1",0.7462
TERIPARATIDE,"[ALA11,22,28]VIP",0.7007
TERIPARATIDE,PTHRP-(1-21)/PTH-(22-34) (HUMAN),0.7846
TERIPARATIDE,BIROPEPIMUT-S,0.7203
TERIPARATIDE,GLUCAGON-LIKE PEPTIDE 2-(3-33),0.7846
TERIPARATIDE,"[125I]ET-1 (HUMAN, MOUSE, RAT)",0.7481
TERIPARATIDE,LIXISENATIDE,0.717
TERIPARATIDE,GLP-2 ANALOGUE 10,0.7778
TERIPARATIDE,HUMAN GIP(3-30)NH2,0.8088
TERIPARATIDE,SERACTIDE ACETATE,0.7368
TERIPARATIDE,"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7014
TERIPARATIDE,APRAGLUTIDE,0.7574
TERIPARATIDE,GLUCAGON-LIKE PEPTIDE 2,0.876
DEXIBUPROFEN,(R)-IBUPROPHEN,1.0
PHOSPHATIDYLSERINE,DIOCTANOYLGLYCEROL PYROPHOSPHATE,0.7234
PHOSPHATIDYLSERINE,LYSOPHOSPHATIDYLSERINE,0.7447
AUPHEN,"1,10-PHENANTHROLINE",0.8
AS99,MRE 2029F20,0.7671
AS99,AS100,0.8235
AS99,AS94,0.7887
"UK-432,097",UK-432097,1.0
MRS1084,MRS1066,0.8431
MRS1084,MRS1065,0.75
[3H]ZM 241385,"4-{2-[(7-AMINO-2-FURAN-2-YL[1,2,4]TRIAZOLO[1,5-A][1,3,5]TRIAZIN-5-YL)AMINO]ETHYL}PHENOL",1.0
TRV026,ANGIOTENSIN-(1-7),0.7374
TRV026,SARALASIN ACETATE,0.8421
TRV026,ANGIOTENSIN A,0.7184
TRV026,TRV023,0.8247
TRV026,TXA127,0.7374
PD 168368,PD 176252,0.825
PD 168368,PD 165929,0.7037
Z-DEVD-FMK,Z-VEID-FMK,0.871
Z-DEVD-FMK,Z-VDVAD-FMK,0.8033
Z-VEID-FMK,Z-VDVAD-FMK,0.7538
DEXLOXIGLUMIDE,LORGLUMIDE,0.8868
DEXLOXIGLUMIDE,LORGLUMIDE SODIUM,0.7288
CCX354,CCX-354,1.0
BIVALIRUDIN,MOTILIN,0.7
BIVALIRUDIN,DYNORPHIN A,0.7344
L-(CIS)-DILTIAZEM,DILTIAZEM MALATE,0.8281
AZ12971554,AZD-8165,0.7763
NAPORAFENIB,LXH254,1.0
15(R)-15-METHYL-PGD2,15(S)-15-METHYL-PGD2,1.0
PRAMIPEXOLE,PRAMIPEXOLE DIHYDROCHLORIDE,0.9722
[125I]ET-2 (HUMAN),"[125I][ALA1,3,11,15]ET-1",0.8174
[125I]ET-2 (HUMAN),PTHRP-(1-21)/PTH-(22-34) (HUMAN),0.7258
[125I]ET-2 (HUMAN),"[125I]ET-1 (HUMAN, MOUSE, RAT)",0.9358
[125I]ET-2 (HUMAN),BQ 3020,0.7607
[125I]ET-2 (HUMAN),HUMAN GIP(3-30)NH2,0.7015
[125I]ET-2 (HUMAN),GLUCAGON-LIKE PEPTIDE 1-(7-37),0.7045
[125I]ET-2 (HUMAN),[125I]GLP-1-(7-37) (HUMAN),0.7045
GALANIN(10-29) (PIG),[125I]PYY-(3-36) (HUMAN),0.7075
GALANIN(10-29) (PIG),GALANIN(7-29) (PIG),0.959
GALANIN(10-29) (PIG),[125I][TYR26]GALANIN (PIG),0.8286
GALANIN(10-29) (PIG),GALANIN(2-29) (PIG),0.8623
GALANIN(10-29) (PIG),NPY-(3-36) (PIG),0.7622
GALANIN(10-29) (PIG),GALANIN(2-29) (RAT/MOUSE),0.7778
GALANIN(10-29) (PIG),GALANIN(3-29) (RAT/MOUSE),0.8992
GALANIN(10-29) (PIG),"[125I]OREXIN A (HUMAN, MOUSE, RAT)",0.7039
GALANIN(10-29) (PIG),GALANIN(10-29) (RAT/MOUSE),0.9127
GALANIN(10-29) (PIG),OSTN (81-102),0.7313
GALANIN(10-29) (PIG),[125I][TYR26]GALANIN (HUMAN),0.7466
GALANIN(10-29) (PIG),V3 PEPTIDE,0.75
GALANIN(10-29) (PIG),"[125I]NPY (HUMAN, MOUSE, RAT)",0.7039
[125I]TYR-ALA-HEXARELIN,GHRP-6,0.8375
[125I]TYR-ALA-HEXARELIN,EXAMORELIN,0.7444
GLUCAGON (RDNA),TASPOGLUTIDE,0.7622
GLUCAGON (RDNA),GLUCAGON HYDROCHLORIDE,0.9918
GLUCAGON (RDNA),CORTICOTROPIN,0.745
GLUCAGON (RDNA),ALBIGLUTIDE,0.8195
GLUCAGON (RDNA),PACAP-38,0.7266
GLUCAGON (RDNA),SECRETIN SYNTHETIC PORCINE,0.7063
GLUCAGON (RDNA),SERMORELIN,0.7348
GLUCAGON (RDNA),DASIGLUCAGON HYDROCHLORIDE,0.7447
GLUCAGON (RDNA),GLUCAGON-LIKE PEPTIDE 2-(3-33),0.7519
GLUCAGON (RDNA),EXENDIN-3,0.7197
GLUCAGON (RDNA),GLP-2 ANALOGUE 10,0.8538
GLUCAGON (RDNA),HUMAN GIP(3-30)NH2,0.7273
GLUCAGON (RDNA),GASTRIN-RELEASING PEPTIDE,0.7383
GLUCAGON (RDNA),SERMORELIN ACETATE,0.7293
GLUCAGON (RDNA),"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7826
GLUCAGON (RDNA),GLUCAGON-LIKE PEPTIDE 2,0.7482
GLUCAGON (RDNA),DASIGLUCAGON,0.7447
NS1738,NS1643,0.7297
[125I]NPW-23 (HUMAN),COSYNTROPIN,0.7013
[125I]NPW-23 (HUMAN),[125I]ACTH-(1-24),0.777
[125I]NPW-23 (HUMAN),GALP(3-32) (HUMAN),0.7974
[125I]NPW-23 (HUMAN),PTHRP-(1-20)/TIP-(23-39) (HUMAN),0.7107
[125I]NPW-23 (HUMAN),[125I][TYR26]GALANIN (PIG),0.7134
[125I]NPW-23 (HUMAN),GALANIN(2-29) (PIG),0.7647
[125I]NPW-23 (HUMAN),TIP39-(3-39) (HUMAN/BOVINE),0.7105
[125I]NPW-23 (HUMAN),GALANIN(2-29) (RAT/MOUSE),0.8176
[125I]NPW-23 (HUMAN),GALP(1-32) (HUMAN),0.7987
[125I]NPW-23 (HUMAN),APELIN-36,0.7342
[125I]NPW-23 (HUMAN),OSTN (81-102),0.7014
[125I]NPW-23 (HUMAN),SERACTIDE ACETATE,0.7375
[125I]NPW-23 (HUMAN),[125I][TYR26]GALANIN (HUMAN),0.7748
[125I]NPW-23 (HUMAN),"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7383
[125I]NPW-23 (HUMAN),GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.8056
[125I]NPW-23 (HUMAN),S36077,0.75
[125I]NPW-23 (HUMAN),CGEN-857,0.7047
[125I]NPW-23 (HUMAN),[125I]PRRP31,0.7407
[125I]NPW-23 (HUMAN),TIP39-(9-39) (HUMAN/BOVINE),0.7105
GLPG1205,GLPG-1205,1.0
ND-2158,ND-2110,0.7846
PROCYANIDIN C2,CINNAMTANNIN B1,0.7377
RETOSIBAN,EPELSIBAN,0.7432
NALFURAFINE,NALFURAFINE HYDROCHLORIDE,0.9861
COMPOUND 74 [PMID: 24793884],COMPOUND 77 [PMID: 24793884],0.7736
TCS 1102,[3H]-TCS 1102,1.0
DARIDOREXANT,DARIDOREXANT HYDROCHLORIDE,0.9841
VPC32179,VPC12249,0.7183
IVERMECTIN,ABAMECTIN,0.787
COMPOUND 27 [PMID: 29775310],ASTX029,0.7582
UDP-GLUCURONIC ACID,UDP-GLUCOSE,0.7937
[11C]XANOMELINE,XANOMELINE TARTRATE,0.8039
5-METHOXY-LUZINDOLE,LUZINDOLE,0.72
NATURAL CYTOTOXICITY TRIGGERING RECEPTOR 3 LIGAND 1,METHYLEUGENOL,0.7097
AR-C67085,ARL66096,0.8472
AR-C67085,[3H]PSB-0413,1.0
[3H]NISOXETINE,NISOXETINE HYDROCHLORIDE,0.9697
[3H]NISOXETINE,NISOXETINE,1.0
ITP,GUANOSINE-5'-TRIPHOSPHATE,0.7541
ITP,GTP,0.7541
MEN 10376,D-NAL-CYS-TYR-D-TRP-LYS-VAL-CYS-NAL-NH2,0.7412
MEN 10376,BIM 23295,0.7439
MEN 10376,BIM 23058,0.8077
MEN 10376,U-II-(4-11) (HUMAN),0.7975
5S-HETE,5S-HPETE,0.7273
5S-HETE,[3H]LTB4,0.7561
5S-HETE,12-EPI LTB4,0.7561
5S-HETE,15S-HETE,0.8947
5S-HETE,LTB4,0.7561
5S-HETE,12S-HETE,0.7805
5S-HETE,12R-HETE,0.7805
[3H]MIROGABALIN,MIROGABALIN,1.0
[3H]MIROGABALIN,MIROGABALIN BESYLATE,0.7609
NERANDOMILAST,EXAMPLE 2 [WO2013026797A1],1.0
COMPOUND 6 [PMID: 30125504],DUAL BRD4/PLK1 INHIBITOR 23,0.7125
COMPOUND 6 [PMID: 30125504],BI 2536,0.9028
OCIFISERTIB,CFI-400945,0.9079
TRIAZINE COMPOUND PC7,TRIAZINE COMPOUND PC1,0.8364
TRIAZINE COMPOUND PC7,TRIAZINE COMPOUND PC10,0.7742
BIM 23050,BIM 23027,0.8333
BIM 23050,SEGLITIDE,1.0
BIM 23050,"L-363,377",0.7024
[3H]RESINIFERATOXIN,RESINIFERATOXIN,1.0
[3H]RESINIFERATOXIN,5'-IODORESINIFERATOXIN,0.8315
SZM594,TAK-632,0.7403
HELODERMIN,NEUROPEPTIDE Y,0.7552
HELODERMIN,ALBIGLUTIDE,0.7183
HELODERMIN,EXENDIN-3,0.7
HELODERMIN,KISSPEPTIN-54,0.7215
HELODERMIN,UROCORTIN 3,0.7254
HELODERMIN,NPY,0.7552
BEXAROTENE,FLUOROBEXAROTENE,0.7209
[125I]PYY (PIG),NEUROPEPTIDE Y,0.7181
[125I]PYY (PIG),[125I]PYY-(3-36) (HUMAN),0.9111
[125I]PYY (PIG),NPY-(2-36),0.7532
[125I]PYY (PIG),[PRO34]NPY,0.8121
[125I]PYY (PIG),PEPTIDE YY HUMAN (3-36),0.8156
[125I]PYY (PIG),NPY-(3-36) (PIG),0.8369
[125I]PYY (PIG),"[125I]OREXIN A (HUMAN, MOUSE, RAT)",0.7273
[125I]PYY (PIG),"PYY-(13-36) (MOUSE, RAT, PIG)",0.782
[125I]PYY (PIG),OSTN (81-102),0.7319
[125I]PYY (PIG),[125I]NEUROMEDIN U-25 (HUMAN),0.7353
[125I]PYY (PIG),V3 PEPTIDE,0.7379
[125I]PYY (PIG),"[125I]NPY (HUMAN, MOUSE, RAT)",0.8732
[125I]PYY (PIG),CT-(8-32) (SALMON),0.7914
[125I]PYY (PIG),NPY,0.7181
[125I]PYY (PIG),[125I]NEUROMEDIN U-23 (RAT),0.7254
[125I]PYY (PIG),[125I]CT (SALMON),0.7692
ALANINE,D-ALANINE,1.0
(S)-NITRENDIPINE,(R)-NITRENDIPINE,1.0
FZ7-21,MODIMELANOTIDE,0.7101
EPZ004777,SGC0946,0.7848
COMPOUND 49 [PMID: 30889352],COMPOUND 55 [PMID: 30889352],0.8478
BETA-LAPACHONE PRODRUG ARQ 761,LAPACHONE,1.0
HEXYLCAINE,HEXYLCAINE HYDROCHLORIDE,0.9722
BUSERELIN,FERTIRELIN,0.877
BUSERELIN,[TRP8]GNRH,0.7165
BUSERELIN,GOSERELIN ACETATE,0.9024
BUSERELIN,[GLN8]GNRH,0.7209
BUSERELIN,LEUPROLIDE MESYLATE,0.8917
BUSERELIN,DESLORELIN,0.9145
BUSERELIN,[SER8]GNRH,0.7165
BUSERELIN,NAFARELIN ACETATE,0.7879
BUSERELIN,"[125I]GNRH I (HUMAN, MOUSE, RAT)",0.8175
BUSERELIN,BUSERELIN ACETATE,0.9832
BUSERELIN,LUTEINIZING HORMONE,0.8125
BUSERELIN,TRIPTORELIN,0.8443
BUSERELIN,GNRH I,0.7222
BUSERELIN,TRIPTORELIN PAMOATE,0.7464
BUTAMBEN,BUTACAINE,0.7647
BUTAMBEN,BUTYLPARABEN,0.7419
BIM 23052,BIM 23295,0.7821
BIM 23052,BIM 23058,0.8767
MALEIC ACID,FUMARIC ACID,1.0
PSB-0788,PSB603,0.8095
2'3'-CGAMP,CYCLIC ADENOSINE MONOPHOSPHATE,0.7538
PLIXORAFENIB,PLX-8394,1.0
CYCRIMINE,PROCYCLIDINE HYDROCHLORIDE,0.9714
CYCRIMINE,TRIHEXYPHENIDYL HYDROCHLORIDE,0.9714
CYCRIMINE,HEXAHYDRODIFENIDOL,0.8421
CYCRIMINE,CYCRIMINE HYDROCHLORIDE,0.9714
CYCRIMINE,(R)-PROCYCLIDINE,1.0
MK6-83,SF-22,0.7333
FLT3 TYROSINE KINASE INHIBITOR TTT-3002,K-252A,0.7083
FLT3 TYROSINE KINASE INHIBITOR TTT-3002,TTT-3002,1.0
FLT3 TYROSINE KINASE INHIBITOR TTT-3002,K 252A,0.7083
TEZACITABINE,ANHYDROUS DEXTROSE,1.0
COMPOUND 60 [PMID: 30889352],COMPOUND 55 [PMID: 30889352],0.7925
COMPOUND 60 [PMID: 30889352],COMPOUND 59 [PMID: 30889352],0.8421
COMPOUND 31 [PMID: 24915291],COMPOUND 38 [PMID: 24915291],0.8507
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE ACETATE,0.7692
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTAMATE HYDROCHLORIDE,0.7324
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE HEMISUCCINATE,0.8462
HYDROCORTISONE SODIUM SUCCINATE,PREDNISOLONE SODIUM SUCCINATE,0.7429
Z-LEHD-FMK,Z-WEHD-FMK,0.8101
UNDECANOIC ACID,STEARIC ACID,1.0
UNDECANOIC ACID,ERUCIC ACID,0.7391
UNDECANOIC ACID,LAURIC ACID,1.0
UNDECANOIC ACID,OLEIC ACID,0.7391
UNDECANOIC ACID,DECANOIC ACID,1.0
UNDECANOIC ACID,N-VALERIC ACID,0.7778
NEUROPEPTIDE Y,AUNP-12,0.705
NEUROPEPTIDE Y,[PRO34]NPY,0.7197
NEUROPEPTIDE Y,PEPTIDE YY HUMAN (3-36),0.7778
NEUROPEPTIDE Y,NPY-(3-36) (PIG),0.7152
NEUROPEPTIDE Y,KISSPEPTIN-54,0.7756
NEUROPEPTIDE Y,UROCORTIN 3,0.7241
NEUROPEPTIDE Y,OBINEPITIDE,0.7133
NEUROPEPTIDE Y,"[125I]NPY (HUMAN, MOUSE, RAT)",0.7616
NEUROPEPTIDE Y,NPY,1.0
[125I]PYY-(3-36) (HUMAN),NPY-(2-36),0.7778
[125I]PYY-(3-36) (HUMAN),[PRO34]NPY,0.7895
[125I]PYY-(3-36) (HUMAN),PEPTIDE YY HUMAN (3-36),0.8971
[125I]PYY-(3-36) (HUMAN),GALANIN(7-29) (PIG),0.7222
[125I]PYY-(3-36) (HUMAN),NPY-(3-36) (PIG),0.8511
[125I]PYY-(3-36) (HUMAN),GALANIN(3-29) (RAT/MOUSE),0.7517
[125I]PYY-(3-36) (HUMAN),"[125I]OREXIN A (HUMAN, MOUSE, RAT)",0.7632
[125I]PYY-(3-36) (HUMAN),"PYY-(13-36) (MOUSE, RAT, PIG)",0.7445
[125I]PYY-(3-36) (HUMAN),[125I]CT (HUMAN),0.7179
[125I]PYY-(3-36) (HUMAN),OSTN (81-102),0.7092
[125I]PYY-(3-36) (HUMAN),[125I]NEUROMEDIN U-25 (HUMAN),0.7
[125I]PYY-(3-36) (HUMAN),"[125I]UROCORTIN 1 (MOUSE, RAT)",0.7103
[125I]PYY-(3-36) (HUMAN),V3 PEPTIDE,0.8014
[125I]PYY-(3-36) (HUMAN),"[125I]NPY (HUMAN, MOUSE, RAT)",0.8483
[125I]PYY-(3-36) (HUMAN),CT-(8-32) (SALMON),0.7676
[125I]PYY-(3-36) (HUMAN),[125I]CT (SALMON),0.7466
CLOBETASOL,BETAMETHASONE SODIUM PHOSPHATE,0.7463
CLOBETASOL,DEXAMETHASONE SODIUM PHOSPHATE,0.7463
CLOBETASOL,CLOBETASOL PROPIONATE,0.7206
CLOBETASOL,BETAMETHASONE ACETATE,0.7812
APINOCALTAMIDE,ACT-709478,1.0
REVUMENIB,SNDX-5613,1.0
B-RAF/VEGFR-2 INHIBITOR RAF265,CHIR-265,1.0
HYDROCORTISONE ACETATE,HYDROCORTAMATE HYDROCHLORIDE,0.7576
HYDROCORTISONE ACETATE,CORTISONE ACETATE,0.7143
HYDROCORTISONE ACETATE,HYDROCORTISONE HEMISUCCINATE,0.7937
TESTOSTERONE CYPIONATE,TESTOSTERONE ENANTHATE,0.7419
TESTOSTERONE CYPIONATE,ANDROGEN RECEPTOR ANTISENSE OLIGONUCLEOTIDE AZD5312,0.7586
TESTOSTERONE CYPIONATE,ANDROGEN RECEPTOR ANTISENSE OLIGONUCLEOTIDE EZN-4176,0.7586
INSULIN TREGOPIL,INSULIN ZINC SUSP EXTENDED BEEF,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP PROMPT BEEF,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP PURIFIED BEEF/PORK,0.9265
INSULIN TREGOPIL,"INSULIN [INJECTION], BIPHASIC",0.9265
INSULIN TREGOPIL,"INSULIN, ISOPHANE",0.8531
INSULIN TREGOPIL,"INSULIN HUMAN, ISOPHANE",0.9265
INSULIN TREGOPIL,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,0.9265
INSULIN TREGOPIL,INSULIN SUSP ISOPHANE BEEF/PORK,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP PURIFIED BEEF,0.9265
INSULIN TREGOPIL,PEGMUSIRUDIN,0.7043
INSULIN TREGOPIL,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,0.9265
INSULIN TREGOPIL,INSULIN DETEMIR,0.9265
INSULIN TREGOPIL,INSULIN PURIFIED BEEF,0.8208
INSULIN TREGOPIL,INSULIN GLARGINE-YFGN,0.9265
INSULIN TREGOPIL,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,0.9265
INSULIN TREGOPIL,INSULIN SUSP ISOPHANE PURIFIED BEEF,0.9265
INSULIN TREGOPIL,INSULIN PEGLISPRO,0.9265
INSULIN TREGOPIL,INSULIN SENSITIZER S-707106,0.9265
INSULIN TREGOPIL,INSULIN DEGLUDEC,0.9403
INSULIN TREGOPIL,INSULIN PURIFIED PORK,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP PURIFIED PORK,0.9265
INSULIN TREGOPIL,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP PROMPT PURIFIED PORK,0.9265
INSULIN TREGOPIL,"INSULIN ZINC, EXTENDED",0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP RECOMBINANT HUMAN,0.9265
INSULIN TREGOPIL,INSULIN ASPART PROTAMINE RECOMBINANT,0.9265
INSULIN TREGOPIL,INSULIN LISPRO-AABC,0.9265
INSULIN TREGOPIL,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,0.9265
INSULIN TREGOPIL,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,0.9265
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP PROMPT BEEF,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP PURIFIED BEEF/PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,DESIRUDIN,0.704
INSULIN ZINC SUSP EXTENDED BEEF,"INSULIN [INJECTION], BIPHASIC",1.0
INSULIN ZINC SUSP EXTENDED BEEF,"INSULIN, ISOPHANE",0.8744
INSULIN ZINC SUSP EXTENDED BEEF,"INSULIN HUMAN, ISOPHANE",1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP ISOPHANE BEEF/PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP PURIFIED BEEF,1.0
INSULIN ZINC SUSP EXTENDED BEEF,PEGMUSIRUDIN,0.7061
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN DETEMIR,0.9212
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN PURIFIED BEEF,0.8502
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN GLARGINE-YFGN,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN PEGLISPRO,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SENSITIZER S-707106,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN DEGLUDEC,0.935
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN PURIFIED PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN ZINC SUSP EXTENDED BEEF,"INSULIN ZINC, EXTENDED",1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN LISPRO-AABC,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PURIFIED BEEF/PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,DESIRUDIN,0.704
INSULIN ZINC SUSP PROMPT BEEF,"INSULIN [INJECTION], BIPHASIC",1.0
INSULIN ZINC SUSP PROMPT BEEF,"INSULIN, ISOPHANE",0.8744
INSULIN ZINC SUSP PROMPT BEEF,"INSULIN HUMAN, ISOPHANE",1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP ISOPHANE BEEF/PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PURIFIED BEEF,1.0
INSULIN ZINC SUSP PROMPT BEEF,PEGMUSIRUDIN,0.7061
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN DETEMIR,0.9212
INSULIN ZINC SUSP PROMPT BEEF,INSULIN PURIFIED BEEF,0.8502
INSULIN ZINC SUSP PROMPT BEEF,INSULIN GLARGINE-YFGN,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN PEGLISPRO,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SENSITIZER S-707106,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN DEGLUDEC,0.935
INSULIN ZINC SUSP PROMPT BEEF,INSULIN PURIFIED PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN ZINC SUSP PROMPT BEEF,"INSULIN ZINC, EXTENDED",1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN LISPRO-AABC,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
TAZEMETOSTAT,TAZEMETOSTAT HYDROBROMIDE,0.9859
